REPORT ID,TITLE,YEAR,CREATOR,CONTRIBUTOR,REGION,REGION NEIGHBORHOODS,CALL NUMBER,TABLE OF CONTENTS,PATH
4377,Airport Program for the Philadelphia-Camden Metropolitan Area,1946,Philadelphia City Planning Commission,,Southwest Philadelphia,"Eastwick,Elmwood",TL 726.4 P5 A4 1946,"pp. 1: select a section,pp. 1: Title Page,pp. 3: Contents,pp. 5: Concurrences in the Findings of this Report,pp. 5: Civil Aeronautics Administration,pp. 6: Commonwealth of PA, Aeronautics Commission,pp. 7: New Jersey Deptartment of Aviation,pp. 8: Foreward,pp. 10: View of Proposed Development of Southwest Airport,pp. 11: Summary and Recommendations,pp. 14: Introduction,pp. 17: Map: Existing Airports - 1945 - Phila. & Camden,pp. 18: Present Status of Aviation & Airport Facilities in the Metropolitan Area,pp. 19: Types of Planes,pp. 20: Photo: One of the New Post-War Private Planes,pp. 21: Photo: Connie - The New Lockheed Constellation,pp. 23: Plane Use & Airport Requirements,pp. 24: Table: Classification of Airports,pp. 26: Airport Capacities,pp. 28: Future Air Traffic and Number of Airports Required,pp. 29: Table: Number of Potential Plane Owners, 1955,pp. 30: Table: Estimates of Future Scheduled Air Traffic,pp. 31: Number of Airports Required for Commercial Air Traffic,pp. 31: Table: Total Number of Airports Needed, 1955,pp. 32: Photo: Phila. Northeast Airport on Opening Day, June 1945,pp. 33: Factors Influencing Airport Location,pp. 35: Photo: Dupont Airport. Wilmington, DE,pp. 38: Map: Airlines - 1946,pp. 39: Map: Possible Feeder Line Network,pp. 40: Map: Feeder Line Applications - 1944,pp. 41: General Area Locations,pp. 42: Table: Number of Airports in Each County,pp. 43: Map: General Area Locations,pp. 44: Map: Private Plane Distribution - 1955,pp. 47: Photo: Passengers Boarding the London Plane at Southwest Airport,pp. 49: Effectuating the Plan,pp. 53: Appendix,pp. 54: A: Inventory of Existing Airports,pp. 57: B: Recommended Airport Size Standards,pp. 61: C: Calculation of Total Airpolane Operations - 1950 & 1955,pp. 61: Estimate A: Civilian Flying,pp. 64: Estimate C: Scheduled Air Traffic,pp. 64: Estimate C-1: Domestic Air Traffic,pp. 69: Estimate C-2: American Airlines' Estimate",
4780,American Street Area Plan,1960,Stuart N. Polly,Stuart N. Polly,Frankford / Kensington,"Fishtown,Frankford,Harrowgate,Kensington,Port Richmond,Richmond,West Kensington",HT 177 P5 P64 1960,"pp. 1: select a section,pp. 1: Original Cover,pp. 2: Title Page,pp. 3: Foreward,pp. 4: Table of Contents,pp. 5: List of Tables and Maps,pp. 6: Introduction,pp. 8: I: Present Conditions,pp. 9: Land Use,pp. 10: Map: Existing Land Use,pp. 12: Map: Existing Streets & Property Lines,pp. 13: Transportation,pp. 15: Industry,pp. 18: Community Facilities,pp. 20: Housing,pp. 24: Population,pp. 27: II: Area Plan Proposals,pp. 28: Industry,pp. 30: Land Use,pp. 31: Map: Proposed Land use,pp. 35: Transportation,pp. 36: Map: Philadelphia's Freeways - Existing and Proposed,pp. 39: Map: Proposed Circulation,pp. 41: Community Facilities,pp. 43: Effectuation,pp. 48: Appendices,pp. 49: Appendix A, B,pp. 50: Appendix C,pp. 51: Appendix D,pp. 53: Appendix E,pp. 54: Appendix F,  G,pp. 55: Appendix H,pp. 56: Appendix I",
5927,Army Piers Redevelopment Area Plan,1963,Philadelphia City Planning Commission,,South Philadelphia,"Girard Estates,Grays Ferry,Pennsport,Point Breeze,Schuylkill,South,Wharton",CITIES P53-792 Army Piers,"pp. 1: select a section,pp. 1: Cover,pp. 2: Title Page,pp. 3: The Commission,pp. 4: Contents,pp. 5: Maps List,pp. 6: Images,pp. 7: Letter of Transmittal,pp. 8: Introduction,pp. 9: Boundaries and Existing Conditions,pp. 11: Map: Existing Land Use,pp. 12: Existing Land Use,pp. 12: Proposed Land Use,pp. 12: Zoning,pp. 13: Map: Proposed Land Use,pp. 14: Proposed Street Changes,pp. 14: Proposed Standards of Development,pp. 14: Rehousing of Displaced Persons,pp. 15: Preliminary Site Plan,pp. 16: Map: Preliminary Site Plan,pp. 17: Estimated Cost of Acquisition,pp. 17: Continuing Controls",
5933,Belmont Redevelopment Area Plan,1972,Philadelphia City Planning Commission,,West Philadelphia,"Belmont,Cedar Park,Cobbs Creek,Haddington,Kingsessing,Mill Creek,Overbrook,Powelton,University City,Wynnefield",CITIES P53-792 Belmont,"pp. 1: select a section,pp. 1: Title Page,pp. 2: Letter of Transmittal,pp. 3: Contents,pp. 4: Photos & Maps List,pp. 5: Introduction,pp. 6: Existing Conditions,pp. 7: Photos: Blighted Conditions,pp. 8: Photos: Blighted Conditions,pp. 10: Existing Land Use & Boundaries,pp. 12: Map: Existing Land Use and Boundaries,pp. 13: Public Use & Transportation,pp. 14: Map: Public Use and Transportation,pp. 15: Proposed Land Use,pp. 16: Map: Proposed Land Use,pp. 17: Illustrative Site Plan,pp. 18: Map: Illustrative Site Plan,pp. 19: Existing Zoning,pp. 19: Proposed Standards of Density, Land & Buildings,pp. 19: Proposed Street Changes,pp. 20: Map: Existing Zoning,pp. 21: Rehousing of Displaced Families,pp. 21: Estimated Cost of Acquisition,pp. 21: Controls",
2590,Broad and Olney Terminal Area Market Study: Final Report,1981,"E. L. Crow, Inc. (Creator (Architect)),Philadelphia City Planning Commission (Contract Party)",,Upper North Philadelphia,Olney,HF 5430.5 P5 E22 1981,"pp. 1: select a section,pp. 1: Front cover,pp. 2: Acknowledgements,pp. 3: Table of Contents,pp. 4: A. Purpose,pp. 5: B. Research Process,pp. 6: Map: Exhibit I Broad Olney Retail District Existing Building Use,pp. 7: Photographs,pp. 7: Exhibit II Aerial Photograph Broad and Olney Retail District,pp. 11: C. Summary of Findings,pp. 15: Map: Retail Sales by Block Face,pp. 23: Map: Profile of Sales to,pp. 29: D. Conclusions,pp. 33: E. Recommended Improvement Actions,pp. 43: Map: Building Use after Improvements,pp. 49: F. Agenda for Action",
4130,Broad and Olney Terminal Area Market Study: Highlights,1981,Philadelphia City Planning Commission,,Upper North Philadelphia,Olney,HF 5430.5 P5 E2 1981,"pp. 1: select a section,pp. 1: Front cover--recto,pp. 2: Acknowledgements,pp. 3: Overview,pp. 8: Safety and Security,pp. 8: Physical Improvements,pp. 9: Upgrade Present Stores,pp. 9: Add New Stores,pp. 10: Location of Stores,pp. 13: Map: Exisiting Building Use,pp. 14: Map: Shoppers at Broad and Olney Retail District,pp. 15: Map: Building Use: After Improvements",
5930,Canal Street Redevelopment Area Plan,1970,Philadelphia City Planning Commission,,Frankford / Kensington,"Fishtown,Frankford,Harrowgate,Kensington,Port Richmond,Richmond,West Kensington",CITIES P53-792 Canal Street,"pp. 1: select a section,pp. 1: Title Page,pp. 2: Letter of Transmittal,pp. 3: Table of Contents,pp. 4: Maps & Images List,pp. 5: Certification,pp. 6: Explanatory Notes,pp. 7: Existing Land Use & Boundaries,pp. 7: Proposed Land Use,pp. 8: Map: Existing Land,pp. 9: Photos: Blighted Conditions,pp. 10: Map: Proposed Land Use,pp. 11: Preliminary Site Plan,pp. 11: Street Changes,pp. 11: Proposed Standards,pp. 12: Map: Preliminary Site Plan,pp. 13: Rehousing of Displaced Families,pp. 13: Estimated Cost of Acquisition,pp. 13: Controls",
5939,Carroll Park Neighborhood Conservation Plan,1977,Philadelphia City Planning Commission,,West Philadelphia,"Belmont,Cedar Park,Cobbs Creek,Haddington,Kingsessing,Mill Creek,Overbrook,Powelton,University City,Wynnefield",HT 177 P5 P528 1977,"pp. 1: select a section,pp. 1: Cover,pp. 2: Table of Contents,pp. 3: Introduction,pp. 4: I. Outstanding Characteristics of Carroll Park,pp. 5: Map: City of Philadelphia,pp. 6: Map: West Philadelphia,pp. 8: II. Neighborhood Description,pp. 9: Map: Land Use,pp. 10: Map: Vacancies,pp. 14: III. Recent or Current Public Activities,pp. 15: IV. Major Planning Issues,pp. 18: V. Planning Recommendations,pp. 21: Map: Activities,pp. 26: VI. Appendix,pp. 26: A. Statistical Fact Sheet about Housing and Services,pp. 28: B. Institutions and Facilities,pp. 29: C. Major Community Groups,pp. 30: D. Blocks Recommended for Acquisition Priority,pp. 31: E. Zoning Map,pp. 32: F. Vacant Houses and Tax Delinquent Residential Properties,pp. 34: G. Previous Public Expenditures,pp. 35: H. Description of the Planning Process,pp. 36: I. Human Services Planning,pp. 37: J. Major Comments or Questions by Citizens abouth the Draft Plan,pp. 39: K. Description of Commercial Revitalization Study",
4094,Center City Redevelopment Area Plan,1967,Philadelphia City Planning Commission,,Center City East,"Center City West,Fitler Square,Rittenhouse Square,Spring Garden",HT 177 P5 P526 1967,"pp. 1: select a section,pp. 1: Front cover--recto,pp. 2: Title page,pp. 3: Letter of Transmittal,pp. 4: Introduction,pp. 5: Boundaries and Existing Conditions,pp. 6: Photo: Photographs of blighted conditions,pp. 7: Photo: Photographs of blighted conditions,pp. 8: Map: Existing Land Use,pp. 9: Proposed Land Use Plan,pp. 10: Map: Proposed Land Use,pp. 11: Proposed Standards of Development,pp. 13: Preliminary Site Plan,pp. 14: Map: Preliminary Site Plan,pp. 15: Rehousing,pp. 15: Estimated Cost of Acquisition,pp. 15: Street Changes,pp. 16: Proposed Zoning,pp. 16: Continuing Controls",
6621,Center City Redevelopment Area Plan - 1976,1976,Philadelphia City Planning Commission,,Center City East,"Center City West,Fitler Square,Rittenhouse Square,Spring Garden",Urban Planning - Philadelphia 76-22,"pp. 1: select a section,pp. 1: Cover,pp. 2: Title Page,pp. 3: The Commission,pp. 4: Letter of Transmittal,pp. 5: Boundaries,pp. 5: Map: Center City Boundaries,pp. 6: History,pp. 7: Map: Redevelopment Areas,pp. 8: Existing Conditions,pp. 9: Map: 1965  Land Use,pp. 10: Map: 1976 Land Use,pp. 11: Photos: Blighted Areas,pp. 12: Photos: Blighted Areas,pp. 13: Proposed Land Use,pp. 13: Map: Core Area,pp. 15: Map: Proposed Land Use,pp. 16: Proposed Development Standards,pp. 17: Map: Parking Controls,pp. 18: Map: Height Controls,pp. 19: Required Actions,pp. 20: Illustrative Site Plan,pp. 21: Map: Illustrative Site Plan,pp. 22: Back Cover",
